,0
2123,1353.109985
2124,1371.800049
2125,1381.290039
2126,1380.02002
2127,1367.680054
2128,1330.630005
2129,1331.339966
2130,1326.75
2131,1333.699951
2132,1304.339966
2133,1293.369995
2134,1273.369995
2135,1320.650024
2136,1308.77002
2137,1315.47998
2138,1288.140015
2139,1276.599976
2140,1330.73999
2141,1298.420044
2142,1329.51001
2143,1349.880005
2144,1352.98999
2145,1341.130005
2146,1325.76001
2147,1315.219971
2148,1322.699951
2149,1370.180054
2150,1367.530029
2151,1369.310059
2152,1370.400024
2153,1372.540039
2154,1365.540039
2155,1354.48999
2156,1360.550049
2157,1332.829956
2158,1328.319946
2159,1334.430054
2160,1364.709961
2161,1365.560059
2162,1390.329956
2163,1388.170044
2164,1375.939941
2165,1379.930054
2166,1388.819946
2167,1397.839966
2168,1396.369995
2169,1390.939941
2170,1385.589966
2171,1409.339966
2172,1413.900024
2173,1407.48999
2174,1418.26001
2175,1392.569946
2176,1397.680054
2177,1388.280029
2178,1403.579956
2179,1403.040039
2180,1408.660034
2181,1423.569946
2182,1425.349976
2183,1426.630005
2184,1413.400024
2185,1390.709961
2186,1394.349976
2187,1375.930054
2188,1385.349976
2189,1390.839966
2190,1398.26001
2191,1400.380005
2192,1385.670044
2193,1377.650024
2194,1377.199951
2195,1404.050049
2196,1360.680054
2197,1361.76001
2198,1358.439941
2199,1335.48999
2200,1339.869995
2201,1360.030029
2202,1360.140015
2203,1350.930054
2204,1337.810059
2205,1342.829956
2206,1317.930054
2207,1318.0
2208,1314.290039
2209,1321.969971
2210,1283.150024
2211,1278.380005
2212,1280.0
2213,1284.910034
2214,1261.52002
2215,1262.900024
2216,1252.310059
2217,1273.699951
2218,1244.689941
2219,1253.390015
2220,1239.48999
2221,1228.300049
2222,1214.910034
2223,1245.359985
2224,1260.319946
2225,1260.680054
2226,1260.0
2227,1277.0
2228,1282.189941
2229,1252.540039
2230,1257.76001
2231,1234.369995
2232,1263.199951
2233,1284.26001
2234,1267.380005
2235,1260.310059
2236,1249.01001
2237,1284.880005
2238,1289.189941
2239,1266.069946
2240,1296.319946
2241,1305.319946
2242,1289.589966
2243,1285.829956
2244,1292.930054
2245,1298.199951
2246,1278.599976
2247,1266.689941
2248,1274.540039
2249,1277.719971
2250,1292.199951
2251,1266.839966
2252,1271.51001
2253,1281.660034
2254,1300.680054
2255,1282.829956
2256,1277.579956
2257,1274.97998
2258,1236.829956
2259,1242.310059
2260,1267.790039
2261,1224.51001
2262,1232.040039
2263,1249.050049
2264,1251.699951
2265,1192.699951
2266,1213.599976
2267,1156.390015
2268,1206.51001
2269,1255.079956
2270,1207.089966
2271,1188.219971
2272,1185.869995
2273,1209.180054
2274,1213.27002
2275,1106.420044
2276,1166.359985
2277,1161.060059
2278,1114.280029
2279,1099.22998
2280,1056.890015
2281,996.2299800000001
2282,984.9400019999999
2283,909.919983
2284,899.2199710000001
2285,1003.349976
2286,998.01001
2287,907.840027
2288,946.429993
2289,940.5499880000001
2290,985.400024
2291,955.0499880000001
2292,896.7800289999999
2293,908.1099849999999
2294,876.7700199999999
2295,848.919983
2296,940.51001
2297,930.090027
2298,954.090027
2299,968.75
2300,966.2999880000001
2301,1005.75
2302,952.7700199999999
2303,904.8800050000001
2304,930.98999
2305,919.2100220000001
2306,898.9500119999999
2307,852.2999880000001
2308,911.2899779999999
2309,873.2899779999999
2310,850.75
2311,859.1199949999999
2312,806.580017
2313,752.4400019999999
2314,800.030029
2315,851.8099980000001
2316,857.3900150000001
2317,887.679993
2318,896.23999
2319,816.210022
2320,848.8099980000001
2321,870.73999
2322,845.2199710000001
2323,876.070007
2324,909.7000119999999
2325,888.669983
2326,899.23999
2327,873.590027
2328,879.7299800000001
2329,868.570007
2330,913.179993
2331,904.419983
2332,885.2800289999999
2333,887.8800050000001
2334,871.6300050000001
2335,863.159973
2336,868.150024
2337,872.7999880000001
2338,869.419983
2339,890.6400150000001
2340,903.25
2341,931.7999880000001
2342,927.4500119999999
